,LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_female,EDUCATION_graduate school,MARRIAGE_married,PAY_0_3 month delay,PAY_2_2 month delay,PAY_3_2 month delay,PAY_4_3 month delay,PAY_5_3 month delay,PAY_6_3 month delay
0,-0.8456335254913598,-0.09556986322746436,-0.8497902820919632,-0.845173804853674,-0.8451738048536727,-0.8388598920982542,-0.8343665531196771,-0.8349671041546133,-0.8383399738449602,-0.7235026429672047,-0.7222086196725355,-0.8490419768451889,-0.7235026429672018,-0.7235026429672047,1,1,0,0,0,0,0,0,0
1,1.4190255363026123,1.2010950322960967,1.4194851521475833,1.4189712308123132,1.4189712308123104,1.4182038192821993,1.4176016632777566,1.4176860513208471,1.4181380659160123,1.4199871695401651,1.4199267580696442,1.4194085064681898,1.4199871695401578,1.419987169540166,0,0,1,0,0,0,0,0,0
2,-0.7130840929677307,-1.693691554559284,-0.7169706554546585,-0.7126544580381835,-0.7126544580381825,-0.7067550118713105,-0.7025599098237668,-0.7031203716957746,-0.7062693727031633,-0.7235026429672047,-0.7222086196725355,-0.7162706341986043,-0.7235026429672018,-0.7235026429672047,0,0,0,0,0,0,0,0,0
3,-0.7130840929677307,-1.5869457740618151,-0.7169706554546585,-0.7126544580381835,-0.7126544580381825,-0.7067550118713105,-0.7025599098237668,-0.7031203716957746,-0.7062693727031633,-0.7235026429672047,-0.7222086196725355,-0.7162706341986043,-0.7235026429672018,-0.7235026429672047,1,0,0,0,0,0,0,0,0
4,-0.7130840929677307,-2.9836574437672687,-0.7169706554546585,-0.7126544580381835,-0.7126544580381825,-0.7067550118713105,-0.7025599098237668,-0.7031203716957746,-0.7062693727031633,-0.7235026429672047,-0.7222086196725355,-0.7162706341986043,-0.7235026429672018,-0.7235026429672047,1,1,0,0,0,0,0,0,0
5,-0.7457498508485302,-0.03837995030403482,-0.7497030005348908,-0.7453128015344851,-0.745312801534484,-0.7393112133593561,-0.7350426131821353,-0.7356129547108486,-0.7388171263821577,-0.7235026429672047,-0.7550279806643847,-0.748991080071723,-0.7235026429672018,-0.7235026429672047,0,0,0,0,0,0,0,0,0
6,-0.7680446627618339,-0.0511451830262531,-0.7720432590927391,-0.7676025530322783,-0.7676025530322772,-0.7615312515852021,-0.7572124879621149,-0.7577895724872353,-0.761031398866564,-0.7235026429672047,-0.7774276287331097,-0.7713232172632927,-0.7235026429672018,-0.7235026429672047,1,1,0,0,0,0,0,0,0
7,-0.7130840929677307,-0.4936591601481485,-0.7169706554546585,-0.7126544580381835,-0.7126544580381825,-0.7067550118713105,-0.7025599098237668,-0.7031203716957746,-0.7062693727031633,-0.7235026429672047,-0.7222086196725355,-0.7162706341986043,-0.7235026429672018,-0.7235026429672047,0,0,1,0,1,1,0,1,1
8,-0.7130840929677307,-1.273615084794213,-0.7169706554546585,-0.7126544580381835,-0.7126544580381825,-0.7067550118713105,-0.7025599098237668,-0.7031203716957746,-0.7062693727031633,-0.7235026429672047,-0.7222086196725355,-0.7162706341986043,-0.7235026429672018,-0.7235026429672047,1,0,0,0,0,0,0,0,0
9,-0.7130840929677307,-1.8548486424943136,-0.7169706554546585,-0.7126544580381835,-0.7126544580381825,-0.7067550118713105,-0.7025599098237668,-0.7031203716957746,-0.7062693727031633,-0.7235026429672047,-0.7222086196725355,-0.7162706341986043,-0.7235026429672018,-0.7235026429672047,0,0,1,0,0,0,0,0,0
